date,new_confirmed,cumulative_confirmed,new_deceased,cumulative_deceased,new_persons_vaccinated,cumulative_persons_fully_vaccinated,new_hospitalized_patients,cumulative_hospitalized_patients,new_recovered,cumulative_recovered,cumulative_tested,investment_in_vaccines,new_recovered_1,cumulative_recovered_1,current_hospitalized_patients
3/7/2021,180,186922,12,3808,8089,294681,10,13252,1554,156554,2783542,0,1554,156554,169
3/7/2021,895,490011,4,6550,37116,564791,2,25978,885,476055,7111428,,885,476055,224
3/7/2021,260,297581,3,6808,17959,269236,0,9162,0,278162,1756955,,0,278162,419
3/7/2021,709,387319,14,7955,26209,602926,79,35651,0,9703,8097590,,0,9703,818
3/7/2021,211,113589,2,1900,5215,111664,13,6705,160,109531,701924,,160,109531,72
3/7/2021,159,45794,2,706,831,135179,4,1570,2,12840,1660180,,2,12840,67
3/7/2021,377,621654,4,7106,29577,627022,25,26457,561,553203,7080595,0,561,553203,249
3/7/2021,104,172931,3,1879,6564,166775,5,7184,209,96017,645838,,209,96017,150
3/7/2021,525,410709,13,4819,26933,430613,6,19457,14,48145,3975672,,14,48145,558
3/7/2021,408,499819,-1,10148,6572,406723,0,45976,0,295690,2323788,0,0,295690,494
3/7/2021,72,100914,0,1381,6413,120103,1,4630,142,97943,1104488,,142,97943,63
3/7/2021,1408,525865,35,8754,27576,488020,66,20725,0,218863,5183044,0,0,218863,579
3/7/2021,373,203026,0,2113,11452,194104,8,6237,319,157144,2421684,,319,157144,137
3/7/2021,0,54764,0,682,377,64499,0,1391,0,53550,649293,,0,53550,21
3/7/2021,1425,591356,43,16417,39500,663148,0,19713,0,508745,16825551,,0,508745,665
3/7/2021,165,324818,22,5319,12022,274376,11,14926,336,315517,2736442,,336,315517,335
3/7/2021,412,374850,1,1976,423,212699,24,14891,709,358958,2910121,0,709,358958,212
3/7/2021,34,100391,0,1478,5985,90596,2,3880,86,98326,1425146,,86,98326,23
3/7/2021,166,76861,3,1184,8614,117145,4,1131,288,73615,1497185,,288,73615,68
3/7/2021,461,428997,0,4534,21147,458310,55,24332,553,412177,3575297,,553,412177,346
3/7/2021,0,782206,0,11543,26421,564759,0,18870,0,756793,6872745,0,0,756793,851
3/7/2021,735,978471,0,17656,57811,1103680,33,50881,1669,925655,10257157,,1669,925655,820
3/6/2021,149,113378,2,1898,7338,108295,11,6692,134,109371,700649,,134,109371,74
3/6/2021,273,76695,3,1181,8286,114351,1,1127,323,73327,1481488,,323,73327,90
3/6/2021,0,54764,0,682,5639,64192,0,1391,0,53550,649293,,0,53550,21
3/6/2021,1312,782206,9,11543,25048,538193,33,18870,1319,756793,6872745,0,1319,756793,879
3/6/2021,576,297321,22,6805,17374,259941,0,9162,0,278162,1756695,,0,278162,419
3/6/2021,1199,524457,20,8719,23285,454186,54,20659,-11930,218863,5155780,0,-11930,218863,623
3/6/2021,282,186742,9,3796,17918,288529,13,13242,1624,155000,2771840,0,1624,155000,148
3/6/2021,79,100357,0,1478,6055,88541,3,3878,76,98240,1424467,,76,98240,21
3/6/2021,932,386610,11,7941,37820,589659,194,35572,2,9703,8064462,,2,9703,830
3/6/2021,1506,977736,0,17656,69296,1059485,66,50848,2279,923986,10227868,,2279,923986,922
3/6/2021,946,489116,12,6546,42522,547744,38,25976,995,475170,7086059,,995,475170,224
3/6/2021,327,324653,14,5297,12486,265226,12,14915,449,315181,2733062,,449,315181,345
3/6/2021,343,202653,1,2113,509,185677,3,6229,315,156825,2421683,,315,156825,136
3/6/2021,614,621277,8,7102,39073,607958,45,26432,331,552642,7061402,0,331,552642,260
3/6/2021,240,172827,0,1876,7436,159634,15,7179,284,95808,645442,,284,95808,150
3/6/2021,978,428536,0,4534,20713,447602,120,24277,846,411624,3574836,,846,411624,346
3/6/2021,839,410184,52,4806,31032,413054,71,19451,93,48131,3975672,,93,48131,591
3/6/2021,1722,589931,52,16374,44780,636626,0,19713,0,508745,16728973,,0,508745,687
3/6/2021,183,45635,0,704,9721,134846,6,1566,5,12838,1652690,,5,12838,74
3/6/2021,524,499411,27,10149,16936,402061,0,45976,0,295690,2321441,0,0,295690,526
3/6/2021,186,100842,2,1381,5401,113545,19,4629,260,97801,1101356,,260,97801,63
