date,subregion1_name,population,life_expectancy,new_confirmed,cumulative_confirmed,new_hospitalized_patients,cumulative_deceased,cumulative_tested,cumulative_hospitalized_patients
3/29/2021,Florida,1426736,77.533083,256,121158,3,1602,1343177,2987
3/29/2021,Florida,1934516,79.300597,733,213894,7,2629,2785101,9611
3/29/2021,Florida,14428,77.666667,1,1656,0,42,19237,59
3/29/2021,Florida,290965,77.575439,28,30281,0,309,335121,687
3/29/2021,Florida,212228,77.186207,28,17344,1,325,207627,905
3/29/2021,Florida,462801,79.789873,104,29953,1,466,366586,1202
3/29/2021,Florida,32050,76.55,3,3245,1,55,30585,158
3/29/2021,Florida,8236,75.85,2,1054,0,16,7062,22
3/29/2021,Florida,740000,78.6875,182,62483,0,910,576455,2213
3/29/2021,Florida,353339,75.448148,46,28997,2,916,300914,1971
3/29/2021,Florida,16615,76.4,5,1553,1,23,16512,109
3/29/2021,Florida,1470344,80.354355,336,131235,10,2644,1716347,6502
3/29/2021,Florida,968341,77.648598,169,72004,3,1554,1049723,4615
3/29/2021,Florida,186704,76.175,26,12349,1,441,139541,985
3/29/2021,Florida,28254,75.95,2,3355,0,60,30242,177
3/29/2021,Florida,145415,75.062963,18,10298,0,428,113906,678
3/29/2021,Florida,2713295,80.555136,1308,444463,18,5815,5201152,12652
3/29/2021,Florida,19427,74.5,2,2212,1,47,18245,89
3/29/2021,Florida,27154,79.533333,2,2898,0,37,25597,221
3/29/2021,Florida,41275,77.055556,16,3739,0,84,48479,402
3/29/2021,Florida,44124,75.742857,2,5213,0,135,49727,310
3/29/2021,Florida,266309,77.945238,59,23344,2,259,447092,1179
3/29/2021,Florida,124995,76.058333,25,8779,1,244,101163,555
3/29/2021,Florida,13580,74.55,1,925,0,19,3353,69
3/29/2021,Florida,154241,79.677778,34,11715,1,280,178707,823
3/29/2021,Florida,103852,77.426087,11,7638,1,321,101655,625
3/29/2021,Florida,48289,74.727273,3,6059,1,154,57726,356
3/29/2021,Florida,181522,78.725,30,11507,3,391,156914,881
3/29/2021,Florida,40276,74.925,7,3084,1,43,33936,202
3/29/2021,Florida,313249,75.153731,30,34811,4,664,270738,2158
3/29/2021,Florida,37241,77.977778,7,4067,0,84,42337,289
3/29/2021,Florida,1355921,78.435979,372,123357,0,1179,1345636,2628
3/29/2021,Florida,15448,73.433333,1,1773,0,70,20273,82
3/29/2021,Florida,82925,78.216667,6,7966,0,122,91995,311
3/29/2021,Florida,537868,77.039048,168,38067,0,715,444082,1987
3/29/2021,Florida,14364,75.1,1,1588,0,23,14540,80
3/29/2021,Florida,525141,76.321239,120,36266,3,687,449255,2442
3/29/2021,Florida,76483,79.424,18,6413,0,48,69411,268
3/29/2021,Florida,73384,74.51875,8,6027,0,135,76069,529
3/29/2021,Florida,174049,77.245833,16,17721,3,278,96010,862
3/29/2021,Florida,68021,78.136364,4,7303,0,83,41527,301
3/29/2021,Florida,159701,81.606452,28,11335,4,302,156420,744
3/29/2021,Florida,16105,76.5,2,1914,0,41,13268,98
3/29/2021,Florida,21781,76.075,1,2694,0,45,17743,96
3/29/2021,Florida,313163,77.727907,43,23937,2,584,293606,1656
3/29/2021,Florida,41018,78.316667,6,4464,1,77,28479,335
3/29/2021,Florida,372678,81.591525,100,32410,8,492,324224,1635
3/29/2021,Florida,14165,76.5,1,1426,0,24,14922,75
3/29/2021,Florida,27142,76.2,2,2919,0,53,29687,146
3/29/2021,Florida,685368,77.266667,170,61019,0,1237,682179,4849
3/29/2021,Florida,17900,77.36,2,1487,0,37,16730,74
3/29/2021,Florida,353623,79.132353,108,39522,0,482,355567,1370
3/29/2021,Florida,69999,74.754545,6,7834,0,162,72854,459
3/29/2021,Florida,385506,78.997297,80,34698,1,635,472010,1466
3/29/2021,Florida,587769,77.314815,113,37115,5,806,394433,2183
3/29/2021,Florida,109999,79.005263,26,6655,0,96,74117,366
3/29/2021,Florida,243693,80.342424,50,21128,0,204,248808,752
3/29/2021,Florida,419680,80.290123,74,29248,1,785,417205,1354
3/29/2021,Florida,184736,75.825641,11,19367,0,373,81828,826
3/29/2021,Florida,937933,75.768263,134,92444,1,1297,1084190,2066
3/29/2021,Florida,45993,75.622222,1,5532,0,89,51029,416
3/29/2021,Florida,203478,78.015789,11,19733,0,351,128582,708
3/29/2021,Florida,345432,77.764706,95,26605,1,600,330675,1418
3/29/2021,Florida,24546,74.083333,1,2670,0,50,19462,136
3/28/2021,Florida,186704,76.175,30,12323,3,439,139530,984
3/28/2021,Florida,32050,76.55,1,3242,0,55,30585,157
3/28/2021,Florida,18474,76.14,1,2032,0,43,22210,90
3/28/2021,Florida,41275,77.055556,5,3723,0,84,48416,402
3/28/2021,Florida,16615,76.4,1,1548,1,23,16499,108
