date,subregion1_name,subregion2_name,population,life_expectancy,new_confirmed,cumulative_confirmed,new_hospitalized_patients,cumulative_deceased,cumulative_tested,cumulative_hospitalized_patients,latitude,longitude,area_sq_km,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
3/30/2021,Florida,Hillsborough County,1426736,77.533083,395,121546,4,1611,1346632,2994,27.91,-82.35,3279,697571,729165,178297,178833,206500,205720,191896,187064,147586,84880,45960
3/30/2021,Florida,St. Johns County,243693,80.342424,40,21167,0,202,249578,754,29.91,-81.41,2127,118732,124961,26849,31992,22942,28237,33191,35526,33418,21201,10337
3/30/2021,Florida,Sumter County,124995,76.058333,11,8789,0,258,101387,558,28.71,-82.08,1503,62419,62576,4912,4818,6454,7631,7475,10952,31782,37721,13250
3/30/2021,Florida,Levy County,40276,74.925,10,3093,0,43,34025,202,29.28,-82.79,3658,19711,20565,4269,4293,4375,4082,4299,5958,6335,4555,2110
3/30/2021,Florida,Broward County,1934516,79.300597,701,214588,6,2634,2794367,9629,26.124354,-80.249503,3418,942414,992102,225540,227767,245152,261834,261712,280940,215325,132157,84089
3/30/2021,Florida,Volusia County,537868,77.039048,198,38265,10,715,446143,2001,29.07,-81.14,1432,262165,275703,51890,56516,64725,57146,59474,77752,80163,56795,33407
3/30/2021,Florida,Baker County,28254,75.95,5,3360,0,62,30326,177,30.32,-82.27,1525,14874,13380,3646,3798,3887,3886,3793,3747,2968,1701,828
3/30/2021,Florida,Brevard County,587769,77.314815,74,37190,3,807,395574,2188,28.3,-80.7,4032,287247,300522,57188,63194,65332,62545,64508,92296,85624,60075,37007
3/30/2021,Florida,Bay County,184736,75.825641,20,19387,0,374,81907,827,30.24,-85.63,2676,91977,92759,22633,20810,25297,24443,22061,26363,22110,13488,7531
3/30/2021,Florida,Hendry County,41018,78.316667,2,4466,0,77,28505,335,26.55,-81.17,3082,21619,19399,6181,5960,5789,5408,5070,5078,3673,2519,1340
3/30/2021,Florida,Sarasota County,419680,80.290123,111,29360,2,783,418246,1357,27.19,-82.37,1878,199988,219692,31135,36067,35638,34154,40364,56912,72784,67694,44932
3/30/2021,Florida,Osceola County,353623,79.132353,82,39601,0,484,356580,1375,28.06,-81.15,3901,174281,179342,46104,50445,49582,51449,49265,43471,33097,20652,9558
3/30/2021,Florida,Calhoun County,14428,77.666667,2,1657,0,42,19257,59,30.41,-85.2,1488,7870,6558,1557,1649,1850,1945,1979,1959,1707,1132,650
3/30/2021,Florida,Lake County,345432,77.764706,74,26679,1,601,331670,1420,28.77,-81.72,2995,167074,178358,35480,37620,35739,36972,39352,45064,48605,43052,23548
